id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
9,2,1,1,1,0,2.6,0,2
9,3,1,0,1,0,3.47,0,1
9,4,1,1,1,1,2.72,1,2
9,5,1,0,1,0,4.6,0,1
9,6,1,1,0,0,4.24,1,4
9,7,1,1,1,1,5.09,1,2
9,8,1,0,1,1,3.35,1,1
9,9,1,0,0,1,4.3,0,3
9,11,1,0,0,0,6.1,1,3
9,12,1,1,0,0,4.64,1,4
9,13,1,0,1,0,4.32,0,1
9,14,1,1,0,1,3.72,0,4
9,15,1,0,1,0,3.95,0,1
9,16,1,1,0,1,2.58,0,4
9,17,1,1,0,0,5.68,1,4
9,18,1,0,1,1,3.9,1,1
9,19,1,0,0,1,4.12,0,3
9,20,1,0,1,0,4.64,0,1
9,21,1,0,1,0,3.26,0,1
9,22,1,1,0,1,2.71,0,4
9,23,1,1,0,0,2.25,1,4
9,24,1,1,0,1,2.37,0,4
9,25,1,1,0,1,3.05,0,4
9,26,1,0,0,1,3.51,0,3
9,27,1,0,1,1,4.59,1,1
9,28,1,1,0,1,5.31,0,4
9,29,1,0,0,1,3.94,0,3
9,30,1,1,0,1,3.58,0,4
9,31,1,1,1,1,3.1,1,2
9,33,1,0,1,1,4.6,1,1
9,34,1,1,0,0,4.09,1,4
9,35,1,1,1,1,3.58,1,2
9,36,1,0,1,1,3.91,1,1
9,37,1,0,1,1,4.22,1,1
9,38,1,1,0,1,6.99,0,4
9,39,1,1,1,0,4.82,0,2
9,40,1,1,1,1,2.9,1,2
9,41,1,0,0,0,3.05,1,3
9,42,1,1,1,1,2.39,1,2
9,43,1,0,1,1,4.17,1,1
9,44,1,0,0,1,2.92,0,3
9,45,1,0,0,1,2.88,0,3
9,46,1,0,0,1,5.79,0,3
9,47,1,0,0,1,2.59,0,3
9,48,1,1,1,1,2.21,1,2
9,50,1,1,1,0,4.85,0,2
9,51,1,0,1,1,3.85,1,1
9,52,1,1,1,0,2.59,0,2
9,53,1,1,0,1,3.09,0,4
9,54,1,1,1,1,2.26,1,2
9,55,1,0,0,1,3.1,0,3
9,56,1,1,1,1,1.77,1,2
9,57,1,1,0,1,2.52,0,4
9,58,1,0,1,1,3.33,1,1
9,59,1,0,0,0,3.16,1,3
9,60,1,0,0,0,3.51,1,3
10,1,1,0,1,0,3.24,0,1
10,2,1,1,1,1,3.47,1,2
10,3,1,1,0,1,3.3,0,4
10,4,1,0,1,0,3.76,0,1
10,5,1,1,0,1,3.7,0,4
10,6,1,0,1,0,3.87,0,1
10,7,1,1,0,1,2.78,0,4
10,8,1,0,1,0,4.92,0,1
10,9,1,0,0,0,3.69,1,3
10,10,1,1,1,1,3.26,1,2
10,11,1,1,1,1,4.98,1,2
10,12,1,0,1,1,4.9,1,1
10,13,1,0,0,1,3.92,0,3
10,14,1,0,1,1,4.08,1,1
10,15,1,0,1,0,3.17,0,1
10,16,1,1,0,1,3.2,0,4
10,17,1,0,0,0,4.5,1,3
10,18,1,0,1,1,3.83,1,1
10,19,1,1,0,1,3.73,0,4
10,20,1,1,0,1,3.67,0,4
10,21,1,0,1,0,3.8,0,1
10,22,1,1,0,0,2.6,1,4
10,23,1,0,0,0,4.87,1,3
10,24,1,1,1,1,4.3,1,2
10,25,1,1,1,1,2.37,1,2
10,26,1,1,0,1,3.01,0,4
10,27,1,0,1,0,3.11,0,1
10,28,1,1,1,1,4.19,1,2
10,29,1,1,0,1,2.35,0,4
10,30,1,0,1,0,4.72,0,1
10,31,1,0,0,1,3.23,0,3
10,32,1,1,0,1,3.37,0,4
10,33,1,1,0,0,4.47,1,4
10,34,1,0,0,0,4.67,1,3
10,35,1,0,0,1,3.91,0,3
10,36,1,0,0,1,4.21,0,3
10,37,1,1,1,0,3.42,0,2
10,38,1,0,1,0,2.62,0,1
10,39,1,1,0,1,4.94,0,4
10,40,1,1,1,0,2.97,0,2
10,41,1,1,1,1,2.08,1,2
10,42,1,0,0,1,4.59,0,3
10,43,1,0,0,1,3.25,0,3
10,44,1,1,1,1,3.42,1,2
10,45,1,1,0,1,3.74,0,4
